card_id,set_code,number,name,stage,evolves_from,hp,type,weakness_type,weakness_value,resistance_type,resistance_value,retreat_cost,rarity,dex_number,power_type,power_name,power_text,attack1_name,attack1_cost,attack1_damage,attack1_text,attack2_name,attack2_cost,attack2_damage,attack2_text,attack3_name,attack3_cost,attack3_damage,attack3_text,artist,flavor_text
base4-15,base4,15,Poliwrath,Stage 2,Poliwhirl,90,W,G,x2,,,3,Rare Holo,62,,,,Water Gun,WWC,30+,Does 30 damage plus 10 more damage for each Water Energy attached to Poliwrath but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.,Whirlpool,WWCC,40,"If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.",,,,,Ken Sugimori,An adept swimmer at both the front crawl and breaststroke. Easily overtakes the best human swimmers.
base4-16,base4,16,Raichu,Stage 1,Pikachu,80,L,F,x2,,,1,Rare Holo,26,,,,Agility,LCC,20,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Raichu.",Thunder,LLLC,60,"Flip a coin. If tails, Raichu does 30 damage to itself.",,,,,Ken Sugimori,Its long tail serves as a ground to protect itself from its own high-voltage power.
base4-17,base4,17,Scyther,Basic,,70,G,R,x2,F,-30,0,Rare Holo,123,,,,Swords Dance,G,,"During your next turn, Scyther's Slash attack's base damage is 60 instead of 30.",Slash,CCC,30,,,,,,Ken Sugimori,"With ninja-like agility and speed, it can create the illusion that there is more than one of it."
base4-18,base4,18,Venusaur,Stage 2,Ivysaur,100,G,R,x2,,,2,Rare Holo,3,Pokémon Power,Energy Trans,"As often as you like during your turn (before your attack), you may take 1 Grass Energy card attached to 1 of your Pokémon and attach it to a different one. This power can't be used if Venusaur is Asleep, Confused, or Paralyzed.",Solarbeam,GGGG,60,,,,,,,,,,Mitsuhiro Arita,This plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
base4-19,base4,19,Wigglytuff,Stage 1,Jigglypuff,80,C,F,x2,P,-30,2,Rare Holo,40,,,,Lullaby,C,,The Defending Pokémon is now Asleep.,Do the Wave,CCC,10+,Does 10 damage plus 10 more damage for each of your Benched Pokémon.,,,,,Mitsuhiro Arita,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
base4-20,base4,20,Zapdos,Basic,,90,L,,,F,-30,3,Rare Holo,145,,,,Thunder,LLLC,60,"Flip a coin. If tails, Zapdos does 30 damage to itself.",Thunderbolt,LLLL,100,Discard all Energy cards attached to Zapdos in order to use this attack.,,,,,Ken Sugimori,A legendary bird Pokémon said to appear from clouds while wielding enormous lightning bolts.
base4-21,base4,21,Beedrill,Stage 2,Kakuna,80,G,R,x2,F,-30,0,Rare,15,,,,Twineedle,CCC,30×,Flip 2 coins. This attack does 30 damage times the number of heads.,Poison Sting,GGG,40,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",,,,,Ken Sugimori,"Flies at high speed and attacks using the large, venomous stingers on its forelegs and tail."
base4-22,base4,22,Dragonair,Stage 1,Dratini,80,C,,,P,-30,2,Rare,148,,,,Slam,CCC,30×,Flip 2 coins. This attack does 30 damage times the number of heads.,Hyper Beam,CCCC,20,"If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.",,,,,Mitsuhiro Arita,A mystical Pokémon that exudes a gentle aura. Has the ability to change climate conditions.
base4-23,base4,23,Dugtrio,Stage 1,Diglett,70,F,G,x2,L,-30,2,Rare,51,,,,Slash,FFC,40,,Earthquake,FFFF,70,Does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),,,,,Keiji Kinebuchi,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.
base4-24,base4,24,Electabuzz,Basic,,70,L,F,x2,,,2,Rare,125,,,,Thundershock,L,10,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Thunderpunch,LC,30+,"Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage and Electabuzz does 10 damage to itself.",,,,,Ken Sugimori,"Normally found near power plants, it can wander away and cause major blackouts in cities."
base4-25,base4,25,Electrode,Stage 1,Voltorb,80,L,F,x2,,,1,Rare,101,Pokémon Power,Buzzap,"At any time during your turn (before your attack), you may Knock Out Electrode and attach it to 1 of your other Pokémon. If you do, choose a type of Energy. Electrode is now an Energy card of that type (instead of a Pokémon) that provides 2 energy. This power can't be used if Electrode is Asleep, Confused, or Paralyzed.",Electric Shock,LLL,50,"Flip a coin. If tails, Electrode does 10 damage to itself.",,,,,,,,,Keiji Kinebuchi,It stores electrical energy under very high pressure. It often explodes with little or no provocation.
base4-26,base4,26,Kangaskhan,Basic,,90,C,F,x2,P,-30,3,Rare,115,,,,Fetch,C,,Draw a card.,Comet Punch,CCCC,20×,Flip 4 coins. This attack does 20 damage times the number of heads.,,,,,Mitsuhiro Arita,The infant rarely ventures out of its mother's protective pouch until it is three years old.
base4-27,base4,27,Mr. Mime,Basic,,40,P,P,x2,,,1,Rare,122,Pokémon Power,Invisible Wall,"Whenever an attack (including your own) does 30 or more damage to Mr. Mime (after applying Weakness and Resistance), prevent that damage. (Any other effects of attacks still happen.) This power stops working while Mr. Mime is Asleep, Confused, or Paralyzed.",Meditate,PC,10+,Does 10 damage plus 10 more damage for each damage counter on the Defending Pokémon.,,,,,,,,,Ken Sugimori,"If interrupted while miming, it will slap around the enemy with its broad hands."
base4-28,base4,28,Pidgeotto,Stage 1,Pidgey,60,C,L,x2,F,-30,1,Rare,17,,,,Whirlwind,CC,20,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)",Mirror Move,CCC,,"If Pidgeotto was attacked last turn, do the final result of that attack on Pidgeotto to the Defending Pokémon.",,,,,Ken Sugimori,"Very protective of its sprawling territory, this Pokémon will fiercely peck at any intruder."
base4-29,base4,29,Pinsir,Basic,,60,G,R,x2,,,1,Rare,127,,,,Irongrip,GG,20,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Guillotine,GGCC,50,,,,,,Kagemaru Himeno,"If it fails to crush the victim in its pincers, it will swing its victim around and toss it hard."
base4-30,base4,30,Snorlax,Basic,,90,C,F,x2,P,-30,4,Rare,143,Pokémon Power,Thick Skinned,"Snorlax can't become Asleep, Confused, Paralyzed, or Poisoned. This power can't be used if Snorlax is already Asleep, Confused, or Paralyzed.",Body Slam,CCCC,30,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,,,,,,,,Ken Sugimori,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
base4-31,base4,31,Venomoth,Stage 1,Venonat,70,G,R,x2,F,-30,0,Rare,49,Pokémon Power,Shift,"Once during your turn (before your attack), you may change the type of Venomoth to the type of any other Pokémon in play other than Colorless. This power can't be used if Venomoth is Asleep, Confused, or Paralyzed.",Venom Powder,GG,10,"Flip a coin. If heads, the Defending Pokémon is now Confused and Poisoned.",,,,,,,,,Ken Sugimori,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.
base4-32,base4,32,Victreebel,Stage 2,Weepinbell,80,G,R,x2,,,2,Rare,71,,,,Lure,G,,"If your opponent has any Benched Pokémon, choose 1 of them and switch it with his or her Active Pokémon.",Acid,GG,20,"Flip a coin. If heads, the Defending Pokémon can't retreat during your next turn.",,,,,Ken Sugimori,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
base4-33,base4,33,Arcanine,Stage 1,Growlithe,100,R,W,x2,,,3,Uncommon,59,,,,Flamethrower,RRC,50,Discard 1 Fire Energy card attached to Arcanine in order to use this attack.,Take Down,RRCC,80,Arcanine does 30 damage to itself.,,,,,Ken Sugimori,"A Pokémon that has been long admired for its beauty. It runs gracefully, as if on wings."
base4-34,base4,34,Butterfree,Stage 2,Metapod,70,G,R,x2,F,-30,0,Uncommon,12,,,,Whirlwind,CC,20,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)",Mega Drain,GGGG,40,"Remove a number of damage counters from Butterfree equal to half the damage done to the Defending Pokémon (after applying Weakness and Resistance) (rounded up to the nearest 10). If Butterfree has fewer damage counters than that, remove all of them.",,,,,Kagemaru Himeno,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
base4-35,base4,35,Charmeleon,Stage 1,Charmander,80,R,W,x2,,,1,Uncommon,5,,,,Slash,CCC,30,,Flamethrower,RRC,50,Discard 1 Fire Energy card attached to Charmeleon in order to use this attack.,,,,,Mitsuhiro Arita,"When it swings its burning tail, it raises the temperature to unbearably high levels."
base4-36,base4,36,Dewgong,Stage 1,Seel,80,W,L,x2,,,3,Uncommon,87,,,,Aurora Beam,WWC,50,,Ice Beam,WWCC,30,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,,,,Mitsuhiro Arita,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.
base4-37,base4,37,Dodrio,Stage 1,Doduo,70,C,L,x2,F,-30,0,Uncommon,85,Pokémon Power,Retreat Aid,"As long as Dodrio is Benched, pay Colorless less to retreat your Active Pokémon.",Rage,CCC,10+,Does 10 damage plus 10 more damage for each damage counter on Dodrio.,,,,,,,,,Mitsuhiro Arita,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
base4-38,base4,38,Dratini,Basic,,40,C,,,P,-30,1,Uncommon,147,,,,Pound,C,10,,,,,,,,,,Ken Sugimori,"Long considered a mythical Pokémon until recently, when a small colony was found living underwater."
base4-39,base4,39,Exeggutor,Stage 1,Exeggcute,80,G,R,x2,,,3,Uncommon,103,,,,Teleport,P,,Switch Exeggutor with 1 of your Benched Pokémon.,Big Eggsplosion,C,20×,Flip a number of coins equal to the number of Energy attached to Exeggutor. This attack does 20 damage times the number of heads.,,,,,Kagemaru Himeno,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an Exeggcute."
base4-40,base4,40,Farfetch'd,Basic,,50,C,L,x2,F,-30,1,Uncommon,83,,,,Leek Slap,C,30,"Flip a coin. If tails, this attack does nothing. Either way, you can't use this attack again as long as Farfetch'd stays in play (even putting Farfetch'd on the Bench won't let you use it again).",Pot Smash,CCC,30,,,,,,Ken Sugimori,The sprig of green onions it holds is its weapon. This sprig is used much like a metal sword.
base4-41,base4,41,Fearow,Stage 1,Spearow,70,C,L,x2,F,-30,0,Uncommon,22,,,,Agility,CCC,20,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Fearow.",Drill Peck,CCCC,40,,,,,,Mitsuhiro Arita,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
base4-42,base4,42,Growlithe,Basic,,60,R,W,x2,,,1,Uncommon,58,,,,Flare,RC,20,,,,,,,,,,Ken Sugimori,Very protective of its territory. It will bark and bite to repel intruders from its space.
base4-43,base4,43,Haunter,Stage 1,Gastly,60,P,,,F,-30,1,Uncommon,93,,,,Hypnosis,P,,The Defending Pokémon is now Asleep.,Dream Eater,PP,50,You can't use this attack unless the Defending Pokémon is Asleep.,,,,,Keiji Kinebuchi,"Because of its ability to slip through block walls, it is said to be from another dimension."
base4-44,base4,44,Ivysaur,Stage 1,Bulbasaur,60,G,R,x2,,,1,Uncommon,2,,,,Vine Whip,GCC,30,,Poisonpowder,GGG,20,The Defending Pokémon is now Poisoned.,,,,,Ken Sugimori,"When the bulb on its back grows large, the Pokémon seems to lose the ability to stand on its hind legs."
base4-45,base4,45,Jynx,Basic,,70,P,P,x2,,,2,Uncommon,124,,,,Doubleslap,P,10×,Flip 2 coins. This attack does 10 damage times the number of heads.,Meditate,PPC,20+,Does 20 damage plus 10 more damage for each damage counter on the Defending Pokémon.,,,,,Ken Sugimori,"Merely by meditating, the Pokémon launches a powerful psychic energy attack."
base4-46,base4,46,Kadabra,Stage 1,Abra,60,P,P,x2,,,3,Uncommon,64,,,,Recover,PP,,Discard 1 Psychic Energy card attached to Kadabra in order to use this attack. Remove all damage counters from Kadabra.,Super Psy,PPC,50,,,,,,Ken Sugimori,It emits special alpha waves from its body that induce headaches even to those just nearby.
base4-47,base4,47,Kakuna,Stage 1,Weedle,80,G,R,x2,,,2,Uncommon,14,,,,Stiffen,CC,,"Flip a coin. If heads, prevent all damage done to Kakuna during your opponent's next turn. (Any other effects of attacks still happen.)",Poisonpowder,GG,20,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",,,,,Keiji Kinebuchi,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself from predators."
base4-48,base4,48,Lickitung,Basic,,90,C,F,x2,P,-30,3,Uncommon,108,,,,Tongue Wrap,C,10,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Supersonic,CC,,"Flip a coin. If heads, the Defending Pokémon is now Confused.",,,,,Mitsuhiro Arita,Its tongue can be extended like a chameleon's. It leaves a stinging sensation when it licks enemies.
base4-49,base4,49,Machoke,Stage 1,Machop,80,F,P,x2,,,3,Uncommon,67,,,,Karate Chop,FFC,50-,Does 50 damage minus 10 damage for each damage counter on Machoke.,Submission,FFCC,60,Machoke does 20 damage to itself.,,,,,Ken Sugimori,Its muscular body is so powerful that it must wear a power-save belt to help regulate its motions.
base4-50,base4,50,Magikarp,Basic,,30,W,L,x2,,,1,Uncommon,129,,,,Tackle,C,10,,Flail,W,10×,Does 10 damage times the number of damage counters on Magikarp.,,,,,Mitsuhiro Arita,"In the distant past, it was stronger than its horribly weak descendants that exist today."
base4-51,base4,51,Magmar,Basic,,50,R,W,x2,,,2,Uncommon,126,,,,Fire Punch,RR,30,,Flamethrower,RRC,50,Discard 1 Fire Energy card attached to Magmar in order to use this attack.,,,,,Ken Sugimori,Its body always burns with an orange glow that enables it to hide perfectly among flames.
base4-52,base4,52,Marowak,Stage 1,Cubone,60,F,G,x2,L,-30,1,Uncommon,105,,,,Bonemerang,FF,30×,Flip 2 coins. This attack does 30 damage times the number of heads.,Call for Friend,FFC,,Search your deck for a Fighting Basic Pokémon card and put it onto your Bench. Shuffle your deck afterward. (You can't use this attack if your Bench is full.),,,,,Mitsuhiro Arita,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to K.O. targets.
base4-53,base4,53,Nidorina,Stage 1,Nidoran ♀,70,G,P,x2,,,1,Uncommon,30,,,,Supersonic,G,,"Flip a coin. If heads, the Defending Pokémon is now Confused.",Double Kick,GCC,30×,Flip 2 coins. This attack does 30 damage times the number of heads.,,,,,Ken Sugimori,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.
base4-54,base4,54,Nidorino,Stage 1,Nidoran ♂,60,G,P,x2,,,1,Uncommon,33,,,,Double Kick,GCC,30×,Flip 2 coins. This attack does 30 damage times the number of heads.,Horn Drill,GGCC,50,,,,,,Mitsuhiro Arita,An aggressive Pokémon that is quick to attack. The horn on its head secretes a powerful venom.
base4-55,base4,55,Parasect,Stage 1,Paras,60,G,R,x2,,,1,Uncommon,47,,,,Spore,GG,,The Defending Pokémon is now Asleep.,Slash,CCC,30,,,,,,Ken Sugimori,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.
base4-56,base4,56,Persian,Stage 1,Meowth,70,C,F,x2,P,-30,0,Uncommon,53,,,,Scratch,CC,20,,Pounce,CCC,30,"If the Defending Pokémon attacks Persian during your next turn, any damage done by the attack is reduced by 10 (after applying Weakness and Resistance). (Benching either Pokémon ends this effect.)",,,,,Kagemaru Himeno,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
base4-57,base4,57,Poliwhirl,Stage 1,Poliwag,60,W,G,x2,,,1,Uncommon,61,,,,Amnesia,WW,,Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.,Doubleslap,WWC,30×,Flip 2 coins. This attack does 30 damage times the number of heads.,,,,,Ken Sugimori,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
base4-58,base4,58,Raticate,Stage 1,Rattata,60,C,F,x2,P,-30,1,Uncommon,20,,,,Bite,C,20,,Super Fang,CCC,?,Does damage to the Defending Pokémon equal to half the Defending Pokémon's remaining HP (rounded up to the nearest 10).,,,,,Ken Sugimori,It uses its whiskers to maintain its balance. It seems to slow down if they are cut off.
base4-59,base4,59,Rhydon,Stage 1,Rhyhorn,100,F,G,x2,L,-30,3,Uncommon,112,,,,Horn Attack,FCC,30,,Ram,FFFF,50,"Rhydon does 20 damage to itself. If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon. Switch the Pokémon even if Rhydon is knocked out.)",,,,,Kagemaru Himeno,"Protected by an armor-like hide, it is capable of living in molten lava of 3600 degrees."
base4-60,base4,60,Seaking,Stage 1,Goldeen,70,W,L,x2,,,1,Uncommon,119,,,,Horn Attack,W,10,,Waterfall,WC,30,,,,,,Kagemaru Himeno,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks."
base4-61,base4,61,Seel,Basic,,60,W,L,x2,,,1,Uncommon,86,,,,Headbutt,W,10,,,,,,,,,,Ken Sugimori,The protruding horn on its head is very hard. This horn is used for bashing through thick ice.
base4-62,base4,62,Tauros,Basic,,60,C,F,x2,P,-30,2,Uncommon,128,,,,Stomp,CC,20+,"Flip a coin. If heads, this attack does 20 damage plus 10 more damage; if tails, this attack does 20 damage.",Rampage,CCC,20+,"Does 20 damage plus 10 more damage for each damage counter on Tauros. Flip a coin. If tails, Tauros is now Confused (after doing damage).",,,,,Kagemaru Himeno,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
base4-63,base4,63,Wartortle,Stage 1,Squirtle,70,W,L,x2,,,1,Uncommon,8,,,,Withdraw,WC,,"Flip a coin. If heads, prevent all damage done to Wartortle during your opponent's next turn. (Any other effects of attacks still happen.)",Bite,WCC,40,,,,,,Ken Sugimori,"Often hides in water to stalk unweary prey. When swimming quickly, it moves its ears to maintain balance."
base4-64,base4,64,Weepinbell,Stage 1,Bellsprout,70,G,R,x2,,,1,Uncommon,70,,,,Poisonpowder,G,10,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",Razor Leaf,GG,30,,,,,,Kagemaru Himeno,"It spits out poisonpowder to immobilize the enemy, and then finishes the enemy with a spray of acid."
base4-65,base4,65,Abra,Basic,,30,P,P,x2,,,0,Common,63,,,,Psyshock,P,10,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,,,,,,,,Mitsuhiro Arita,"Using its ability to read minds, it will identify impending danger and teleport to safety."
base4-66,base4,66,Bellsprout,Basic,,40,G,R,x2,,,1,Common,69,,,,Vine Whip,G,10,,Call for Family,G,,Search your deck for a Basic Pokémon named Bellsprout and put it onto your Bench. Shuffle your deck afterward. (You can't use this attack if your Bench is full.),,,,,Kagemaru Himeno,A carnivorous Pokémon that traps and eats bugs. It uses its root feet to soak up needed moisture.
base4-67,base4,67,Bulbasaur,Basic,,40,G,R,x2,,,1,Common,1,,,,Leech Seed,GG,20,"Unless all damage from this attack is prevented, you may remove 1 damage counter from Bulbasaur.",,,,,,,,,Mitsuhiro Arita,"A strange seed was planted on its back at birth. Thus, a plant sprouted and now grows with this Pokémon."
base4-68,base4,68,Caterpie,Basic,,40,G,R,x2,,,1,Common,10,,,,String Shot,G,10,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,,,,,,,,Ken Sugimori,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
base4-69,base4,69,Charmander,Basic,,50,R,W,x2,,,1,Common,4,,,,Scratch,C,10,,Ember,RC,30,Discard 1 Fire Energy card attached to Charmander in order to use this attack.,,,,,Mitsuhiro Arita,"Obviously prefers hot places. If it gets caught in the rain, steam is said to spout from the tip of its tail."
base4-70,base4,70,Cubone,Basic,,40,F,G,x2,L,-30,1,Common,104,,,,Snivel,C,,"If the Defending Pokémon attacks Cubone during your opponent's next turn, any damage done by the attack is reduced by 20 (after applying Weakness and Resistance). (Benching either Pokémon ends this effect.)",Rage,FF,10+,Does 10 damage plus 10 more damage for each damage counter on Cubone.,,,,,Mitsuhiro Arita,"Because it never removes its skull helmet, no one has ever seen this Pokémon's real face."
base4-71,base4,71,Diglett,Basic,,30,F,G,x2,L,-30,0,Common,50,,,,Dig,F,10,,Mud Slap,FF,30,,,,,,Keiji Kinebuchi,"Lives about three feet underground, where it feeds on plant roots. It sometimes appears above ground."
base4-72,base4,72,Doduo,Basic,,50,C,L,x2,F,-30,0,Common,84,,,,Fury Attack,C,10×,Flip 2 coins. This attack does 10 damage times the number of heads.,,,,,,,,,Mitsuhiro Arita,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
base4-73,base4,73,Drowzee,Basic,,50,P,P,x2,,,1,Common,96,,,,Pound,C,10,,Confuse Ray,PP,10,"Flip a coin. If heads, the Defending Pokémon is now Confused.",,,,,Ken Sugimori,"Puts enemies to sleep, then eats their dreams. Occasionally gets sick from eating bad dreams."
base4-74,base4,74,Exeggcute,Basic,,50,G,R,x2,,,1,Common,102,,,,Hypnosis,P,,The Defending Pokémon is now Asleep.,Leech Seed,GG,20,"Unless all damage from this attack is prevented, you may remove 1 damage counter from Exeggcute.",,,,,Mitsuhiro Arita,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
base4-75,base4,75,Gastly,Basic,,30,P,,,F,-30,0,Common,92,,,,Sleeping Gas,P,,"Flip a coin. If heads, the Defending Pokémon is now Asleep.",Destiny Bond,PC,,"Discard 1 Psychic Energy card attached to Gastly in order to use this attack. If a Pokémon Knocks Out Gastly during your opponent's next turn, Knock Out that Pokémon.",,,,,Keiji Kinebuchi,"Almost invisible, this gaseous Pokémon cloaks the target and puts it to sleep without notice."
base4-76,base4,76,Goldeen,Basic,,40,W,L,x2,,,0,Common,118,,,,Horn Attack,W,10,,,,,,,,,,Kagemaru Himeno,"Its tail fin billows like an elegant ballroom dress, giving it the nickname ""Water Queen."""
base4-77,base4,77,Jigglypuff,Basic,,60,C,F,x2,P,-30,1,Common,39,,,,Lullaby,C,,The Defending Pokémon is now Asleep.,Pound,CC,20,,,,,,Kagemaru Himeno,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
base4-78,base4,78,Machop,Basic,,50,F,P,x2,,,1,Common,66,,,,Low Kick,F,20,,,,,,,,,,Mitsuhiro Arita,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
base4-79,base4,79,Magnemite,Basic,,40,L,F,x2,,,1,Common,81,,,,Thunder Wave,L,10,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Selfdestruct,LC,40,Does 10 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magnemite does 40 damage to itself.,,,,,Keiji Kinebuchi,Uses anti-gravity to stay suspended. Appears without warning and uses attacks like Thunder Wave.
base4-80,base4,80,Meowth,Basic,,50,C,F,x2,P,-30,1,Common,52,,,,Pay Day,CC,10,"Flip a coin. If heads, draw a card.",,,,,,,,,Mitsuhiro Arita,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.
base4-81,base4,81,Metapod,Stage 1,Caterpie,70,G,R,x2,,,2,Common,11,,,,Stiffen,CC,,"Flip a coin. If heads, prevent all damage done to Metapod during your opponent's next turn. (Any other effects of attacks still happen.)",Stun Spore,GG,20,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,,,,Ken Sugimori,"It is vulnerable to attack because its shell is soft, exposing its weak and tender body."
base4-82,base4,82,Nidoran ♀,Basic,,60,G,P,x2,,,1,Common,29,,,,Fury Swipes,G,10×,Flip 3 coins. This attack does 10 damage times the number of heads.,Call for Family,GG,,Search your deck for a Basic Pokémon named Nidoran ♂ or Nidoran ♀ and put it onto your Bench. Shuffle your deck afterward. (You can't use this attack if your Bench is full.),,,,,Ken Sugimori,"Although small, its venomous barbs make this Pokémon dangerous. The female has smaller horns."
base4-83,base4,83,Nidoran ♂,Basic,,40,G,P,x2,,,1,Common,32,,,,Horn Hazard,G,30,"Flip a coin. If tails, this attack does nothing.",,,,,,,,,Ken Sugimori,"Stiffens its ears to sense danger. The larger, more powerful of its horns secretes venom."
base4-84,base4,84,Onix,Basic,,90,F,G,x2,,,3,Common,95,,,,Rock Throw,F,10,,Harden,FF,,"During your opponent's next turn, whenever 30 or less damage is done to Onix (after applying Weakness and Resistance), prevent that damage. (Any other effects of attacks still happen.)",,,,,Ken Sugimori,"As it grows, the stone portions of its body harden to become similar to a diamond, though colored black."
base4-85,base4,85,Paras,Basic,,40,G,R,x2,,,1,Common,46,,,,Scratch,CC,20,,Spore,GG,,The Defending Pokémon is now Asleep.,,,,,Ken Sugimori,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.
base4-86,base4,86,Pidgey,Basic,,40,C,L,x2,F,-30,1,Common,16,,,,Whirlwind,CC,10,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)",,,,,,,,,Ken Sugimori,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
base4-87,base4,87,Pikachu,Basic,,40,L,F,x2,,,1,Common,25,,,,Gnaw,C,10,,Thunder Jolt,LC,30,"Flip a coin. If tails, Pikachu does 10 damage to itself.",,,,,Mitsuhiro Arita,"When several of these Pokémon gather, their electricity can cause lightning storms."
base4-88,base4,88,Poliwag,Basic,,40,W,G,x2,,,1,Common,60,,,,Water Gun,W,10+,Does 10 damage plus 10 more damage for each Water Energy attached to Poliwag but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.,,,,,,,,,Ken Sugimori,Its newly grown legs prevent it from running. It appears to prefer swimming over trying to stand.
base4-89,base4,89,Rattata,Basic,,30,C,F,x2,P,-30,0,Common,19,,,,Bite,C,20,,,,,,,,,,Mitsuhiro Arita,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
base4-90,base4,90,Rhyhorn,Basic,,70,F,G,x2,L,-30,3,Common,111,,,,Leer,C,,"Flip a coin. If heads, the Defending Pokémon can't attack Rhyhorn during your opponent's next turn. (Benching either Pokémon ends this effect.)",Horn Attack,FCC,30,,,,,,Mitsuhiro Arita,"Its massive bones are 1,000 times harder than human bones. It can easily knock a trailer flying."
base4-91,base4,91,Sandshrew,Basic,,40,F,G,x2,L,-30,1,Common,27,,,,Sand-attack,F,10,"If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.",,,,,,,,,Ken Sugimori,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
base4-92,base4,92,Spearow,Basic,,50,C,L,x2,F,-30,0,Common,21,,,,Peck,C,10,,Mirror Move,CCC,,"If Spearow was attacked last turn, do the final result of that attack on Spearow to the Defending Pokémon.",,,,,Mitsuhiro Arita,Eats bugs in grassy areas. It has to flap its short wings at high speeds to stay airborne.
base4-93,base4,93,Squirtle,Basic,,40,W,L,x2,,,1,Common,7,,,,Bubble,W,10,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Withdraw,WC,,"Flip a coin. If heads, prevent all damage done to Squirtle during your opponent's next turn. (Any other effects of opponent's attacks still happen.)",,,,,Mitsuhiro Arita,"After birth, its back swells and hardens into a shell. It powerfully sprays foam from its mouth."
base4-94,base4,94,Starmie,Stage 1,Staryu,60,W,L,x2,,,1,Common,121,,,,Recover,WW,,Discard 1 Water Energy card attached to Starmie in order to use this attack. Remove all damage counters from Starmie.,Star Freeze,WCC,20,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,,,,Keiji Kinebuchi,Its central core glows with the seven colors of the rainbow. Some people value this core as a gem.
base4-95,base4,95,Staryu,Basic,,40,W,L,x2,,,1,Common,120,,,,Slap,W,20,,,,,,,,,,Keiji Kinebuchi,An enigmatic Pokémon that can effortlessly regenerate any appendage it loses in battle.
